Place,County
Miller Place,"Suffolk, NY"
Montauk,"Suffolk, NY"
Montauk Air Force Station,"Suffolk, NY"
Montauk Beach,"Suffolk, NY"
Montauk Estates,"Suffolk, NY"
Montauk Station,"Suffolk, NY"
Montclair Colony,"Suffolk, NY"
Moriches,"Suffolk, NY"
Mount Sinai,"Suffolk, NY"
Napeague,"Suffolk, NY"
Nassau Farms,"Suffolk, NY"
Nassau Point,"Suffolk, NY"
Nesconset,"Suffolk, NY"
Newsday,"Suffolk, NY"
New Suffolk,"Suffolk, NY"
Newtown,"Suffolk, NY"
Nissequogue,"Suffolk, NY"
North Amityville,"Suffolk, NY"
Northampton,"Suffolk, NY"
North Babylon,"Suffolk, NY"
North Bay Shore,"Suffolk, NY"
North Bellport,"Suffolk, NY"
North Great River,"Suffolk, NY"
North Haven,"Suffolk, NY"
North Lindenhurst,"Suffolk, NY"
North Patchogue,"Suffolk, NY"
Northport,"Suffolk, NY"
Northport,"Suffolk, NY"
North Sea,"Suffolk, NY"
North Shore Beach,"Suffolk, NY"
North Smithtown,"Suffolk, NY"
Northville,"Suffolk, NY"
Northwest Harbor,"Suffolk, NY"
Northwest Landing,"Suffolk, NY"
Noyack,"Suffolk, NY"
Oak Beach,"Suffolk, NY"
Oakdale,"Suffolk, NY"
Oakville,"Suffolk, NY"
Ocean Bay Park,"Suffolk, NY"
Ocean Beach,"Suffolk, NY"
Old Field,"Suffolk, NY"
Old Field South,"Suffolk, NY"
Old Mastic,"Suffolk, NY"
Oregon,"Suffolk, NY"
Orient,"Suffolk, NY"
Orient Point,"Suffolk, NY"
Pantigo,"Suffolk, NY"
Patchogue,"Suffolk, NY"
Patchogue Highlands,"Suffolk, NY"
Peconic,"Suffolk, NY"
Penataquit,"Suffolk, NY"
Pilgrim State Hospital,"Suffolk, NY"
Pine Aire,"Suffolk, NY"
Pinelawn,"Suffolk, NY"
Pine Neck,"Suffolk, NY"
Pine Neck-West Tiana,"Suffolk, NY"
Pine Valley,"Suffolk, NY"
Plum Island,"Suffolk, NY"
Point O' Woods,"Suffolk, NY"
Ponquogue,"Suffolk, NY"
Poospatuck Indian Reservation,"Suffolk, NY"
Poquott,"Suffolk, NY"
Port Jefferson,"Suffolk, NY"
Port Jefferson,"Suffolk, NY"
Port Jefferson Station,"Suffolk, NY"
Quioque,"Suffolk, NY"
Quogue,"Suffolk, NY"
Rampasture,"Suffolk, NY"
Red Creek,"Suffolk, NY"
Redwood,"Suffolk, NY"
Reeves Park,"Suffolk, NY"
Remsenburg,"Suffolk, NY"
Remsenburg-Speonk,"Suffolk, NY"
Republic,"Suffolk, NY"
Reydon Shores,"Suffolk, NY"
Ridge,"Suffolk, NY"
Riverhead,"Suffolk, NY"
Riverside,"Suffolk, NY"
Riverside Estates,"Suffolk, NY"
Riverside-Flanders,"Suffolk, NY"
Robbins Rest,"Suffolk, NY"
Robins Island,"Suffolk, NY"
Rocky Point,"Suffolk, NY"
Ronkonkoma,"Suffolk, NY"
Ronkonkoma West,"Suffolk, NY"
Rose Grove,"Suffolk, NY"
Sagaponack,"Suffolk, NY"
Sages Cottages,"Suffolk, NY"
Sag Harbor,"Suffolk, NY"
St. James,"Suffolk, NY"
St. James Heights,"Suffolk, NY"
Saltaire,"Suffolk, NY"
San Remo,"Suffolk, NY"
Santapoque,"Suffolk, NY"
Saxon Park,"Suffolk, NY"
Sayville,"Suffolk, NY"
Scuttlehole,"Suffolk, NY"
Seaview,"Suffolk, NY"
Selden,"Suffolk, NY"
Setauket,"Suffolk, NY"
Setauket,"Suffolk, NY"
Setauket-East Setauket,"Suffolk, NY"
Shelter Island,"Suffolk, NY"
Shelter Island,"Suffolk, NY"
Shelter Island Heights,"Suffolk, NY"
Shinnecock Hills,"Suffolk, NY"
Shinnecock Indian Reservation,"Suffolk, NY"
Shirley,"Suffolk, NY"
Shore Acres,"Suffolk, NY"
Shoreham,"Suffolk, NY"
Shorewood,"Suffolk, NY"
Siegfield Park,"Suffolk, NY"
Silver Beach,"Suffolk, NY"
Smithtown,"Suffolk, NY"
Smithtown,"Suffolk, NY"
Smithtown,"Suffolk, NY"
Smithtown Branch,"Suffolk, NY"
Smithtown Pines,"Suffolk, NY"
Sound Beach,"Suffolk, NY"
Southampton,"Suffolk, NY"
Southampton,"Suffolk, NY"
Southampton,"Suffolk, NY"
South Haven,"Suffolk, NY"
South Holbrook,"Suffolk, NY"
South Huntington,"Suffolk, NY"
South Jamesport,"Suffolk, NY"
South Manor,"Suffolk, NY"
Southold,"Suffolk, NY"
Southold,"Suffolk, NY"
Southport,"Suffolk, NY"
South Setauket,"Suffolk, NY"
South Stony Brook,"Suffolk, NY"
Speonk,"Suffolk, NY"
Springs,"Suffolk, NY"
Springville,"Suffolk, NY"
Squassux Landing,"Suffolk, NY"
Squiretown,"Suffolk, NY"
Stirling,"Suffolk, NY"
Stony Brook,"Suffolk, NY"
Suffolk County Airport,"Suffolk, NY"
Suffolk Developmental Center,"Suffolk, NY"
Sweyze,"Suffolk, NY"
Terryville,"Suffolk, NY"
The Creek Beach,"Suffolk, NY"
The Landing,"Suffolk, NY"
The Springs,"Suffolk, NY"
Tiana,"Suffolk, NY"
Tiana Shores,"Suffolk, NY"
Tuckahoe,"Suffolk, NY"
Upton,"Suffolk, NY"
Vernon Valley,"Suffolk, NY"
Village of the Branch,"Suffolk, NY"
Wading River,"Suffolk, NY"
Wainscott,"Suffolk, NY"
Water Island,"Suffolk, NY"
Water Mill,"Suffolk, NY"
Waterside Park,"Suffolk, NY"
Waterville,"Suffolk, NY"
West Babylon,"Suffolk, NY"
West Bay Shore,"Suffolk, NY"
West Brentwood,"Suffolk, NY"
West Gilgo Beach,"Suffolk, NY"
Westhampton,"Suffolk, NY"
Westhampton Beach,"Suffolk, NY"
West Hampton Dunes,"Suffolk, NY"
West Hills,"Suffolk, NY"
West Huntington,"Suffolk, NY"
West Islip,"Suffolk, NY"
West Mecox,"Suffolk, NY"
West Mecox Village,"Suffolk, NY"
Westmoreland,"Suffolk, NY"
West Ronkonkoma,"Suffolk, NY"
West St. James,"Suffolk, NY"
West Sayville,"Suffolk, NY"
West Smithtown,"Suffolk, NY"
West Tiana,"Suffolk, NY"
West Yaphank,"Suffolk, NY"
Wheatley Heights,"Suffolk, NY"
Wickman Park,"Suffolk, NY"
Wildwood,"Suffolk, NY"
Wildwood Lake,"Suffolk, NY"
Wincoma,"Suffolk, NY"
Woodcliff Park,"Suffolk, NY"
Wyandanch,"Suffolk, NY"
Yaphank,"Suffolk, NY"
McArthur Airport,"Suffolk, NY"
St James,"Suffolk, NY"
Stonybrook,"Suffolk, NY"
ISP,"Suffolk, NY"
Sinai,"Suffolk, NY"
Baruch,New York County
Bowling Green,New York County
Bryant,New York County
Ansonia,New York County
Audubon,New York County
Canal Street,New York County
Carver,New York County
Castle Clinton National Monument,New York County
Cathedral,New York County
Cherokee,New York County
Chinatown,New York County
Church Street,New York County
College,New York County
Colonial Park,New York County
Columbia University,New York County
Columbus Circle,New York County
Cooper,New York County
Drew-Hamilton,New York County
Empire State,New York County
Federal Hall National Memorial,New York County
Federal Reserve,New York County
Fort George,New York County
Fort Jay,New York County
Fort Washington,New York County
Franklin D. Roosevelt,New York County
Frederick Douglas,New York County
General Grant National Memorial,New York County
Governors Island,New York County
G P O,New York County
Gracie,New York County
Grand Central,New York County
Grand Central Terminal,New York County
Greeley Square,New York County
Greenwich Village,New York County
Hamilton Grange,New York County
Hamilton Grange National Memorial,New York County
Harlem,New York County
Hell Gate,New York County
Howard,New York County
Inwood,New York County
J. W. Johnson,New York County
Lenox Hill,New York County
Lillian Wald,New York County
Lincolnton,New York County
London Terrace,New York County
Madison Square,New York County
Manhattan,New York County
Manhattanville,New York County
Marble Hill,New York County
"Martin Luther King, Jr.",New York County
Midtown,New York County
Morgan,New York County
Morningside,New York County
Murray Hill,New York County
New York City,New York County
Number Forty,New York County
Old Chelsa,New York County
One Hundred Thirty Eighth,New York County
Pan Am Building,New York County
Patchin,New York County
Peck Slip,New York County
Peter Stuyvesant,New York County
Pitt,New York County
Planetarium,New York County
Port Authority,New York County
Postal Concentration Center,New York County
Prince,New York County
Radio City Music Hall,New York County
Rockefeller Center,New York County
Roosevelt Island,New York County
South Pole,New York County
Statue of Liberty National Monument,New York County
Theodore Roosevelt Birthplace National Historic Site,New York County
Times Square,New York County
Tompkins Square,New York County
Triborough,New York County
Tudor,New York County
Village,New York County
Wall Street,New York County
Wards Island,New York County
Washington Bridge,New York County
Washington Heights,New York County
West Village,New York County
WTC Battery Park City Airport,New York County
Yorkville,New York County
250 E 73 ST,New York County
Manhatten,New York County
Delancey St,New York County
#NAME?,New York County
MiniVan - New,New York County
Upper West Side,New York County
Canal St New York,New York County
Lexington Ave New York,New York County
Park Ave S New York,New York County
th St New York,New York County
Wall St NYC,New York County
Bayside,"Queens, NYC"
Bay Terrace,"Queens, NYC"
Beechhurst,"Queens, NYC"
Beechurst,"Queens, NYC"
Bellaire,"Queens, NYC"
Belle Harbor,"Queens, NYC"
Bellerose,"Queens, NYC"
Blissville,"Queens, NYC"
Borough Hall,"Queens, NYC"
Breezy Point,"Queens, NYC"
Broad Channel,"Queens, NYC"
Broadway,"Queens, NYC"
Brooklyn Manor,"Queens, NYC"
Bushwick Junction,"Queens, NYC"
Army Pictorial Center,"Queens, NYC"
Arverne,"Queens, NYC"
Astoria,"Queens, NYC"
Auburndale,"Queens, NYC"
Cambria Heights,"Queens, NYC"
Cedar Manor,"Queens, NYC"
Central,"Queens, NYC"
College Point,"Queens, NYC"
Corona,"Queens, NYC"
Douglaston,"Queens, NYC"
East Elmhurst,"Queens, NYC"
Edgemere,"Queens, NYC"
Elmhurst,"Queens, NYC"
Elmhurst-A,"Queens, NYC"
Evergreen,"Queens, NYC"
Far Rockaway,"Queens, NYC"
Floral Park,"Queens, NYC"
Flushing,"Queens, NYC"
Forest Hills,"Queens, NYC"
Forest Park,"Queens, NYC"
Fort Tilden,"Queens, NYC"
Fort Totten,"Queens, NYC"
Fremont,"Queens, NYC"
Fresh Meadows,"Queens, NYC"
Fresh Pond,"Queens, NYC"
Fresh Pond Junction,"Queens, NYC"
Gateway National Recreation Area,"Queens, NYC"
Glendale,"Queens, NYC"
Glen Oaks,"Queens, NYC"
Grand Station,"Queens, NYC"
Haberman,"Queens, NYC"
Hall,"Queens, NYC"
Hamilton Beach,"Queens, NYC"
Hammel,"Queens, NYC"
Hillside,"Queens, NYC"
Holland,"Queens, NYC"
Hollis,"Queens, NYC"
Hollis Court,"Queens, NYC"
Holliswood,"Queens, NYC"
Horace Harding,"Queens, NYC"
Howard Beach,"Queens, NYC"
Hunterspoint Avenue,"Queens, NYC"
Jackson Heights,"Queens, NYC"
Jamaica,"Queens, NYC"
John F. Kennedy International Airport,"Queens, NYC"
Junction Boulevard,"Queens, NYC"
Kew Gardens,"Queens, NYC"
La Guardia Airport,"Queens, NYC"
Laurel Hill,"Queens, NYC"
Laurelton,"Queens, NYC"
Lefrak City,"Queens, NYC"
Linden Hill,"Queens, NYC"
Little Neck,"Queens, NYC"
Locust Manor,"Queens, NYC"
Long Island City,"Queens, NYC"
Malba,"Queens, NYC"
Maspeth,"Queens, NYC"
Middle Village,"Queens, NYC"
Morris Park,"Queens, NYC"
Murray Hill,"Queens, NYC"
Neponsit,"Queens, NYC"
New York City,"Queens, NYC"
Nichols Siding,"Queens, NYC"
North Beach,"Queens, NYC"
Oakland Gardens,"Queens, NYC"
Ozone Park,"Queens, NYC"
Parcel Post,"Queens, NYC"
Parkside,"Queens, NYC"
Parsons Beach,"Queens, NYC"
Penny Bridge,"Queens, NYC"
Plaza,"Queens, NYC"
Pomonok,"Queens, NYC"
Queensbridge,"Queens, NYC"
Queens Village,"Queens, NYC"
Rego Park,"Queens, NYC"
Richmond Hill,"Queens, NYC"
Ridgewood,"Queens, NYC"
Rochdale Village,"Queens, NYC"
Rockaway Beach,"Queens, NYC"
Rockaway Park,"Queens, NYC"
Rockaway Point,"Queens, NYC"
Rosedale,"Queens, NYC"
Roxbury,"Queens, NYC"
St. Albans,"Queens, NYC"
Seaside,"Queens, NYC"
Shea Stadium,"Queens, NYC"
South Ozone Park,"Queens, NYC"
South Richmond Hill,"Queens, NYC"
Springfield Gardens,"Queens, NYC"
Steinway,"Queens, NYC"
Sunnyside,"Queens, NYC"
Terrace Heights,"Queens, NYC"
Trainsmeadow,"Queens, NYC"
Utopia,"Queens, NYC"
Wave Crest,"Queens, NYC"
Whitestone,"Queens, NYC"
Wood Haven,"Queens, NYC"
Woodhaven,"Queens, NYC"
Woodhaven Junction,"Queens, NYC"
Woodside,"Queens, NYC"
Woolsey,"Queens, NYC"
Bath Beach,"Kings, NYC"
Bay,"Kings, NYC"
Bay Ridge,"Kings, NYC"
Bay View,"Kings, NYC"
Bedford,"Kings, NYC"
Bedford-Stuyvesant,"Kings, NYC"
Bensonhurst,"Kings, NYC"
Bergen Beach,"Kings, NYC"
Blythebourne,"Kings, NYC"
Borough Park,"Kings, NYC"
Breukelen,"Kings, NYC"
Brevoort,"Kings, NYC"
Brighton,"Kings, NYC"
Brighton Beach,"Kings, NYC"
Broadway Junction,"Kings, NYC"
Brooklyn,"Kings, NYC"
Brooklyn Heights,"Kings, NYC"
Brooklyn Military Ocean Terminal,"Kings, NYC"
Brooklyn Naval Support Activity,"Kings, NYC"
Brownsville,"Kings, NYC"
Bush Terminal,"Kings, NYC"
Bushwick,"Kings, NYC"
Adelphi,"Kings, NYC"
Atlantic Terminal,"Kings, NYC"
Canarsie,"Kings, NYC"
Classon,"Kings, NYC"
Coney Island,"Kings, NYC"
Cypress Hills,"Kings, NYC"
Dyker Heights,"Kings, NYC"
Eastern Parkway,"Kings, NYC"
East Flatbush,"Kings, NYC"
East New York,"Kings, NYC"
Embarkation,"Kings, NYC"
Farragut,"Kings, NYC"
Flatbush,"Kings, NYC"
Flatlands,"Kings, NYC"
Fort Greene,"Kings, NYC"
Fort Hamilton,"Kings, NYC"
Fort Hamilton,"Kings, NYC"
Fresh Pond,"Kings, NYC"
Fulton Terminal,"Kings, NYC"
Gateway National Recreation Area,"Kings, NYC"
